Test Area,tariffCategory,genTariffCategory,broughtForwards,registerValues,meterStatus,previousReadings,currentReadings,prevDates,currDates,Expected_StatusCode,error_message,Period,Total_Units,Consumption,Fixed_Charges,Brought_Forwards,carryForwards,Total_Tax,Total_Amount,slabName,slabUnits,slabRates,slabAmounts,GenerationUnits,GenerationRate,GenTotalPrice,expectedJson,TestType
Current Reading with text,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,test","test,1000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"2000,3000","1000,2000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,""" "","" """,""" "","" ""","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"10,10","1000020,1000050","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Should fail but not,30.0,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export registerValue,GP_1-NM,,2000,1.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import registerValue,GP_1-NM,,2000,2.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Inactive,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,"2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-03-31,2026-03-31",400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2027-01-01,2027-01-01","2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2025-15-10,2025-15-10","2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","01-01-2026,01-01-2026","31-01-2026,31-01-2026",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Brought Forward,GP_1-NM,,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Successful without Brought Forward,30.0,0,0,500,,9042.0,12.82,512.82,,,,,,,,,FIELD_VALIDATION
"Max units (999,999)",GP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1,10000","1000000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,987999,33591966,1600,2000,0,861373.49,34454939.49,>180.0,987999,34,33591966,,,,,FIELD_VALIDATION
Normal (General Purpose Net Metering),H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300,2000,11042,7.69,307.69,,,,,,,,,FIELD_VALIDATION
Units 0.0,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","1387,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300,2000,2000,7.69,307.69,,,,,,,,,FIELD_VALIDATION
Export higher than Import,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,5000","9000,10000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,1000,17000.0,800,2000,0,456.41,18256.41,>300.0,1000,17,17000.0,,,,,FIELD_VALIDATION
Import higher than Export,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,10000","2000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300,2000,11000,7.69,307.69,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,H_1-NM,SE1@1,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300,2000,11042,7.69,307.69,,,,,,,,,FIELD_VALIDATION
Previous Reading with text,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"test,1000","1000,test","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,test","test,1000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"2000,3000","1000,2000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,""" "","" """,""" "","" ""","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"10,10","1000020,1000050","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Should fail but not,30.0,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export registerValue,H_1-NM,,2000,1.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import registerValue,H_1-NM,,2000,2.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Inactive,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,"2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-03-31,2026-03-31",400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2027-01-01,2027-01-01","2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2025-15-10,2025-15-10","2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","01-01-2026,01-01-2026","31-01-2026,31-01-2026",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Brought Forward,H_1-NM,,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Successful without Brought Forward,30.0,0,0,300,,9042.0,7.69,307.69,,,,,,,,,FIELD_VALIDATION
"Max units (999,999)",H_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1,10000","1000000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,987999,16795983.0,800.0,2000,0,430686.74,17227469.74,>300.0,987999.0,17,16795983.0,,,,,FIELD_VALIDATION
Normal (General Purpose Net Metering),GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,11042,12.82,512.82,,,,,,,,,FIELD_VALIDATION
Units 0.0,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","1387,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,2000,12.82,512.82,,,,,,,,,FIELD_VALIDATION
Export higher than Import,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,5000","9000,10000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,1000,34000,1600,2000,0,912.82,36512.82,>180.0,1000,34,34000,,,,,FIELD_VALIDATION
Import higher than Export,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,10000","2000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,11000,12.82,512.82,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,GV_1-NM,SE1@1,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,500,2000,11042,12.82,512.82,,,,,,,,,FIELD_VALIDATION
Previous Reading with text,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"test,1000","1000,test","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,test","test,1000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"2000,3000","1000,2000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,""" "","" """,""" "","" ""","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"10,10","1000020,1000050","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export registerValue,GV_1-NM,,2000,1.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import registerValue,GV_1-NM,,2000,2.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Inactive,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,"2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-03-31,2026-03-31",400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2027-01-01,2027-01-01","2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2025-15-10,2025-15-10","2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","01-01-2026,01-01-2026","31-01-2026,31-01-2026",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Brought Forward,GV_1-NM,,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Successful without Brought Forward,30.0,0,0,500,,9042.0,12.82,512.82,,,,,,,,,FIELD_VALIDATION
"Max units (999,999)",GV_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1,10000","1000000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,987999,33591966,1600,2000,0,861373.49,34454939.49,>180.0,987999,34,33591966,,,,,FIELD_VALIDATION
Normal (General Purpose Net Metering),IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300.0,2000,11042,7.69,307.69,,,,,,,,,FIELD_VALIDATION
Units 0.0,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","1387,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300.0,2000,2000,7.69,307.69,,,,,,,,,FIELD_VALIDATION
Export higher than Import,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,5000","9000,10000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,1000,17000.0,800,2000,0,456.41,18256.41,>300.0,1000,17,17000.0,,,,,FIELD_VALIDATION
Import higher than Export,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,10000","2000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300.0,2000,11000,7.69,307.69,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,IP_1-NM,SE1@1,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,300.0,2000,11042,7.69,307.69,,,,,,,,,FIELD_VALIDATION
Previous Reading with text,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"test,1000","1000,test","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,test","test,1000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"2000,3000","1000,2000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,""" "","" """,""" "","" ""","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"10,10","1000020,1000050","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export registerValue,IP_1-NM,,2000,1.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import registerValue,IP_1-NM,,2000,2.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Inactive,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,"2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-03-31,2026-03-31",400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2027-01-01,2027-01-01","2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2025-15-10,2025-15-10","2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","01-01-2026,01-01-2026","31-01-2026,31-01-2026",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Brought Forward,IP_1-NM,,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Successful without Brought Forward,30.0,0,0,300.0,,9042.0,7.69,307.69,,,,,,,,,FIELD_VALIDATION
"Max units (999,999)",IP_1-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1,10000","1000000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,987999,16795983.0,800,2000,0,430686.74,17227469.74,>300.0,987999.0,17,16795983.0,,,,,FIELD_VALIDATION
Normal (General Purpose Net Metering),RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,75.0,2000,11042,1.92,76.92,,,,,,,,,FIELD_VALIDATION
Units 0.0,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","1387,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,75.0,2000,2000,1.92,76.92,,,,,,,,,FIELD_VALIDATION
Export higher than Import,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,5000","9000,10000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,1000,23105.0,1700.0,2000,0,636.03,25441.03,0-30.0|30.0-90.0|90.0-120.0|120.0-180.0|>180.0,"30.0,60.0,30.0,60.0,820.0",4.5|4.5|8|19|26,135.0|270.0|240.0|1140.0|21320.0,,,,,FIELD_VALIDATION
Import higher than Export,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,10000","2000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,75.0,2000,11000,1.92,76.92,,,,,,,,,FIELD_VALIDATION
With genTariffCategory,RELIGIOUS-NM,SE1@1,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,75.0,2000,11042,1.92,76.92,,,,,,,,,FIELD_VALIDATION
Previous Reading with text,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"test,1000","1000,test","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current Reading with text,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1000,test","test,1000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous reading higher than current Reading,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"2000,3000","1000,2000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",400,Invalid readings,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous and current reading blank,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,""" "","" """,""" "","" ""","2026-01-01,2026-01-01","2026-01-31,2026-01-31",422,value is not a valid float,,,,,,,,,,,,,,,,,FIELD_VALIDATION
"Units more than 999,999",RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"10,10","1000020,1000050","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Export registerValue,RELIGIOUS-NM,,2000,1.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Import registerValue,RELIGIOUS-NM,,2000,2.8.0_0,Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Meter Status - Inactive,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Inactive,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",500,Internal Server Error,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without previous date,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,"2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without current date,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01",,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Current date future date,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-03-31,2026-03-31",400,Invalid date range (Future dates are not allowed.),,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without both dates,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000",,,400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Previous date larger than current date,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2027-01-01,2027-01-01","2026-01-31,2026-01-31",400,Invalid dates,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Invalid date format,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2025-15-10,2025-15-10","2026-01-31,2026-01-31",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Date Format Validation,RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","01-01-2026,01-01-2026","31-01-2026,31-01-2026",400,Invalid date format. Should be in YYYY-MM-DD format,,,,,,,,,,,,,,,,,FIELD_VALIDATION
Without Brought Forward,RELIGIOUS-NM,,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,Successful without Brought Forward,30.0,0,0,75.0,,9042.0,1.92,76.92,,,,,,,,,FIELD_VALIDATION
"Max units (999,999)",RELIGIOUS-NM,,2000,"1.8.0_0,2.8.0_0",Active,"1,10000","1000000,20000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,987999,25685079.0,1700.0,2000,0,658635.36,26345414.36,0-30.0|30.0-90.0|90.0-120.0|120.0-180.0|>180.0,"30.0,60.0,30.0,60.0,987819.0",4.5|4.5|8|19|26,135.0|270.0|240.0|1140.0|25683294.0,,,,,FIELD_VALIDATION
Normal (Religious Net Accounting),RELIGIOUS-NA,SE3.1@1,,"1.8.0_0,2.8.0_0",Active,"1387,20000","2345,30000","2026-01-01,2026-01-01","2026-01-31,2026-01-31",200,,30.0,0,0,75,,,1.92,76.92,,,,,9042.0,34.5,311949.0,,FIELD_VALIDATION
